Level Title,Course ID,Username,Game Style,Theme,Brief Description,Difficulty,Picture
Plants vs Mario,FFDC-0000-003D-0190,mistermobile,SMB3,Ground,You'll be an expert on CLIMBING if you beat this course.,Hard,http://imgur.com/ujXvAV6
Playing with Fire,0410-0000-0029-57E9,TanookiToad,NSMBU,Castle,"Fight fire with fire in this castle,",Medium-Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkb5Lctdg
"Plays w/Fire, Dances w/Knives",030E-0000-0053-1DB3,Apteral,NSMBU,Ground,An expert-level course featuring a cosine-ish wave track the player must ride while dodging unique (as far as I've seen) swinging Chain Chomps and burners along all the track's downward slopes.  ,Hard,
Pleasure Cruise,3FB7-0000-003B-A714,Chuck,SMW,Airship,"Very easy level, just have fun grabbing coins.",Very Easy,
Powerup Puzzler!,8878-0000-0033-6A90,HotCellars,SMB3,Underground,"A Metroid-ish level, without all the backtracking",Hard,
Princess Breakout Part 1,A660-0000-0078-84E2,DevinSeventy8,SMB3,Castle/Underwater,Enter the castle to save Peach.,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ibrJkg1-DD77l
Princess Breakout Part 2,1A76-0000-0079-1A3B,DevinSeventy8,SMB3,Castle,Got stuck in Bowser's warehouse finding Peach.,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ibt7OcbBOiAWo
Princess Breakout Part 3,F5AF-0000-0079-7BF0,DevinSeventy8,SMB3,Castle,Finally get to kick Bowser's butt.,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ibwE1QICeJv4w
Pro Level: Fire Stinger,A6E4-0000-0019-5564,morrison22,SMB,Castle,Avoid traps and defeat ememies in this difficult precision platforming level.,Hard-Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcjAsP3Q
Pyramid of the Forbidden,59A2-0000-0059-0DDD,MetalSmasher86,SMB3,Castle,"The 3 P's: Puzzles, Platforming, and Peril! Inspired by Commander Keen 4's secret level.",Super Expert,https://www.youtube.com/watch?v=3_YrhhGDrCo
Pyramid of the Forbidden 2.0,BFF6-0000-01EE-F7E2,MetalSmasher86,SMB3,Castle,An improved version with keys and a mandatory boss fight that can be beaten in two ways.,Super Expert,https://www.youtube.com/watch?v=mIZNxTxm1gU
Pyromania Pizza Palace,79E3-0000-003E-378E,Apteral,NSMBU,Castle,A moderately difficult castle level featuring no less than 2 paths at any one time.,Medium,
Quick flight,3CC1-0000-003D-CEBC,Chuck,SMB3,Ground,Get that tail and get flying.,Easy,
Random,A6B4-0000-005B-05BB,Ryu,NSMBU,Ground/Castle,"Keep your guard up, there are two secrets.",Medium-Hard,
Raven forces flagship,ED40-0000-0048-E7D5,Velyund,SMB3,Airship/Ghost house,Kaizo level which will throw you against an army of deadly sky warriors and ruthlessly test all of your platforming skills.,,
Rayman Challenge Run,45D3-0000-0070-D911,,NSMBU,Castle,an attempt to recreate the challenge levels from Rayman Legends,,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkejC0dIw
Relaxing Sky - Cielo Snervante™ ,5EAD-0000-000F-DFCD,Fabio,SMW,Airship,Hard beautiful level in the sky. ,Hard,
Resident Koopa,F2AF-0000-0045-4295,KnightofFenrir,SMB3,Ghost House,A puzzle/action level based on the video game Resident Evil.,Medium,http://imgur.com/zD3JI6L
Return to Brinstar,7119-0000-002D-A85C,John,SMB,Underground,Metroid inspired course with two alternate pathways,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkb90kQag
Rickety Race DKC2,02F7-0000-0048-31CA,H.Layton,SMB3,Ghost House,Roller coaster ride through a carnival!,Medium,
"Ride, Yoshi, Ride",F27B-0000-0049-2B50,TWN,SMW,Ground/Underground,Mandatory Yoshi stage with tricky enemy and grinder bops,Very Hard,
Rock 4-2,2952-0000-0054-7963,RockManRespect,SMB,Airship,An auto-scrolling airship level,Easy,
RUN! 2.0,F378-0000-0060-CE28,JonnyJinx,SMW,Castle,Escape from Bowser!,Medium,https://miiverse.nintendo.net/posts/AYQHAAABAAAEVHhnU-2KPA
Save it for Later (Re-Redux),895E-0000-0040-88B9,Jason / HeroicJay,NSMBU,Ground,Puzzle: Keep the Mushroom sliding along until the end of the level,Medium,
Sawbelt Symphony,562F-0000-0018-D1C3,TWN,SMW,Castle,Platforming with conveyor belts and grinders,Hard,
Scary Aquarium,4603-0000-003B-AA1A,Chuck,SMB,Underground / Underwater,A challenging swim area full of ghosts,Medium,
Seafood Skies (MEDIUM),ED03-0000-0078-9C2D,Aiji,SMB,Ground,A silly stage with sea creatures roaming the highlands.,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHke-Hwn6g
Shell Speedrun,1C37-0000-006A-AB95,omegabrave,SMW,Ground/Water,This is basically a shell speed run when the Red Bill Blaster will shoot out a shell.,Medium-Hard,
Short flight,E6E2-0000-0033-C742,Chuck,SMW,Castle,Find your cape and take to the sky.,Easy,
Shrooms = No fun,3729-0000-002D-DE83,Mike-Wazowski24,SMB,Ground,"Avoid Shrooms, but why?!?!",Medium,
"Sink or Fly, Stop and Die",BD8C-0000-0048-E3E6,Apteral,SMW,Ground,A moderately difficult level designed to be beatable only with Cape Mario's unique flying ability. ,Medium,
Sink That Battleship!,8983-0000-004B-E654,Soccerman95,NSMBU,Airship/Underwater,Make your way through the battleship to take it down and prepare for a final showdown,Medium,
Skinny Mario Jumps Forth,2D94-0000-0031-A36A,jadpraet (Mii),SMB,Ground/Underground,"Jump high using skinny mushrooms. If the last jump is too tough, search for the secret in the skies...",Easy/Medium,
Skulls and Fire,846D-0000-0019-FDA7,SteDL,NSMBU,Castle,Ride a skull platform while avoiding fireballs.,Medium,
Sky High Scuffle!,28F0-0000-0038-AFCD,Shiitake,SMB3,Airship/Castle,A sky-based level featuring a fleet of skyships. Fight your way to Bowser for a throwback finalé!,Easy/Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYzrq0A6DGj0z
Sky Piranhas,F6FA-0000-0030-F7DF,Benj_N_U,NSMBU,Ground,Keep your propellor and survive the Piranha Plants,Medium,
Sky Temple,7BA0-0000-0052-04CA,Brenen,SMB3,Airship,Metroidvania Style SMB3 Temple; collect items and return to a central hub of islands floating in the sky to progress,Medium,
Slippery Underground,B884-0000-002B-BB46,Tut,SMB3,Underground,Icy underground stage with some added threats.,Easy,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdn7U7mg
Slippy Infiltrates The Tower,3A78-0000-0040-1B07,DorkchopExpress,SMB,Airship,Slippy aids Mario as he attacks Koops Tower to take out the great Bob-omb Cannon,Medium - Hard,
Slipspring Caverns,0A68-0000-0051-E498,TWN,SMW,Underground,Fun with springs and ice physics,Hard,
SMB3 2-4 Remix,F1F2-0000-0072-7C71,B-Dub,SMB3,Ground,"A remix of one of my favorite levels from SMB3: World 2-3, sometimes called the ""coin oasis."" Fairly easy.",,
SMB3 Authentic Airship v3,253F-0000-002F-437B,WhySoLimey,SMB3,Airship,Nostalgic SMB3 action!,Medium,
SMB3 Classic Castle,573F-0000-003D-9A1F,WhySoLimey,SMB3,Castle,Nostalgic SMB3 action!,Hard,
SMB3 W7-7 Castle Remix (HARD),DF0D-0000-005F-754C,Aiji,SMB3,Castle,"A remake of SMB3's World 7 level 7, but made harder and longer.",Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdxSCtDQ
SMB3 W8 Airforce Ver.2 (EXTREME),297D-0000-0053-8164,Aiji,SMB3,Airship,"A longer, much tougher version of SMB3's World 8 Airforce Stage",Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdRO2Log
Smokestacks,7FB3-0000-001A-94F1),SteDL,SMB,Airship,An airship level with lots of fire.,Hard,
Snack time,3B05-0000-0035-634F,Chuck,SMW,Underwater,Feed Yoshi as you make your way to the goal.,Easy,
Snake Block Rodeo,56DE-0000-007B-20C8,Master_A1,NSMBU,Ground,"Take the Snake for a hot Ride! Ride them, climb them and even wall jump them!",Medium/Hard,https://miiverse.nintendo.net/posts/AYQHAAABAACNUKFKHSCfAQ
Something Deeply Wrong,9EBA-0000-006A-4B3F,Apteral,SMB,Ground,"A beginner-level course featuring Big Mario wearing a Spiny hat, riding a Kuriboh shoe, and eventually riding in a Clown Car, all while intoxicated.",Easy,
Sonic Boards the Flying Fortress,8D47-0000-005A-B61E,CaptainRockout,SMB,Airship,"My first serious level. Alt paths, mini boss and final boss, plus other fun things. A very long level.",Medium?,
Spikes n' Likes,C42F-0000-0043-B365,kolkana,SMB3,Ground,Nice short level featuring Spinys,Medium,https://miiverse.nintendo.net/posts/AYQHAAABAACNUKFJw0sUXg
Spiny Castle,F216-0000-009D-054A,Phil (phaedrus),SMB,Castle,A very challenging level with spinies and spiny helmets.,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkhNH6g_g
Splatoon???,850A-0000-0040-4EA1,,SMB,Underwater/Ground,Splatoon level blue ink and squidboy baby,Medium-Hard,
Spot the intruder,F21E-0000-004E-FF00,Elenfil,SMW,Ghost House,Puzzle level where you need to find the intruder in each room to progress,Medium,https://miiverse.nintendo.net/posts/AYQHAAABAAAtVHhnu3MxIQ
SS Tea Cup's Revenge,29B8-0000-003B-1B24,Scapetti,SMW,Airship,Can you make it past the Brown Sugar Pirates?,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iY4iZIt5Uk05n
Star Power,C94F-0000-001C-2708,wartjr2373,NSMBU,Underwater,"Use the stars to get through, though it may not be so easy!",Easy,http://i.imgur.com/j4gM6Tl.jpg
Stay Fresh!,FD09-0000-002A-4180,wartjr2373,SMB,Ground / Underwater,A Splatoon-themed fun time. YOU'RE A KID NOW YOU'RE A SQUID NOW,Medium,http://i.imgur.com/41jNEj4.jpg
Stay Sharp!,7578-0000-001D-8B60,VandyPR,NSMBU,Underground,A level for beginners that focuses more on a solid level design.,Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZak54vozJ1ym
Stolen Treasure Ship,059E-0000-0044-93E9,N-Mario1984,SMB3,Airship,"Recreation of the hidden treasure ship, with forced Boss fights.",Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZO4uAXhTydkl
Stop Squidding Around!,2430-0000-0048-DD66,VandyPR,SMB,Airship,Take to the seas to stop a squid infestation!,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZahZEsSMllu0
"Stop, Drop, and Roll",1438-0000-00D6-8622,Aphrodite,NSMBU,Castle,Timing is key in this underground castle filled with Thwomps and firebars.,Medium,
Subaquatic Mycotopia,615B-0000-0067-75AF,Shiitake,NSMBU,Ground/Underwater,Dive into an underwater utopia where mushrooms thrive!,Very Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iayp90hL-rFv2
Subcon Memories (ft Mouser Jr.!),5B17-0000-0045-5F36,siredav,SMB3,Ground / Underground,A celebration of Super Mario Bros. 2 (SMB2) in the form of a whistlestop tour of memorable areas and challenges from the game.,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZRj4EDnYkDxn
Super Aerial Tactics (Very Hard),25D5-0000-0067-D25D,N-Mario1984,NSMBU,Ground/Underground,Requires wall jumping & air sprinning skills. Find the hidden power up!,Very Hard,
Super Luigi Bros. (Mirror W1-1),3C2B-0000-004C-B7E9,N-Mario1984,SMB,Ground/Underground,"Mirror + Recreation of World 1-1, with Luigi costume.",Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZlI6QQgFVgHS
Super M-Type,A87C-0000-01DF-5B33,MetalSmasher86,SMW,Underground,My first shoot-em-up level!,Super Expert,https://www.youtube.com/watch?v=5fARztz-B9w
Super Maker Bros. W1-1,6CFF-0000-0066-F0C8,NNID: trunks2003,SMB,Ground,My self made Super Mario Bros. Level.,Easy,https://supermariomakerbookmark.nintendo.net/courses/6CFF-0000-0066-F0C8
Super Maker Bros. W1-2,926F-0000-0066-F041,NNID: trunks2003,SMB,Ground/Undergrouned,My self made Super Mario Bros. Level.,Normal,https://supermariomakerbookmark.nintendo.net/courses/926F-0000-0066-F041
Super Maker Bros. W1-3,EC89-0000-0066-E8CE,NNID: trunks2003,SMB,Airship/Underwater,Cross the sea.,Expert,https://supermariomakerbookmark.nintendo.net/courses/EC89-0000-0066-E8CE
Super Maker Bros. W1-4,14FD-0000-0066-D99C,NNID: trunks2003,SMB,Undergrouned,Get through the haunted jungle.,Expert ,https://supermariomakerbookmark.nintendo.net/courses/14FD-0000-0066-D99C
Super Maker Bros. W1-5,CE59-0000-0066-D964,NNID: trunks2003,SMB,Undergrouned,You escape the haunted jungle but then enter into a new nightmare.>:),Normal,https://supermariomakerbookmark.nintendo.net/courses/CE59-0000-0066-D964
Super Mario Beginner Course,D164-0000-0014-04C8,jadpraet (Mii),SMB,Ground,A beginner course to learn the basics of Super Mario Bros.,Easy,
Super Mario Bros. Special 1-1,359D-0000-0080-762B,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icMC-AMYWkGVC
Super Mario Bros. Special 1-2,06EB-0000-0080-751C,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icMB8gqTTgI_S
Super Mario Bros. Special 1-3,4E4B-0000-0080-724C,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icL_dk4ULXC3Z
Super Mario Bros. Special 1-4,1BD9-0000-0080-70E7,Forteblast,SMB,Castle/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icL-RMV9SGhpK
Super Mario Bros. Special 2-1,7FFC-0000-0080-6F1F,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icL8vEgwoT6A_
Super Mario Bros. Special 2-2,AA09-0000-0080-6E09,Forteblast,SMB,Underground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLdmMHVtfNL0
Super Mario Bros. Special 2-3,6CD6-0000-0080-6CF3,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLclM3B7-5QJ
Super Mario Bros. Special 2-4,766C-0000-0080-6B6F,Forteblast,SMB,Castle/Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLbKw3yodp5e
Super Mario Bros. Special 3-1,D4B3-0000-0080-6A43,Forteblast,SMB,Ground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLaFU1r8RqQ3
Super Mario Bros. Special 3-2,3620-0000-0080-67A1,Forteblast,SMB,Underground/Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLXs81vYl_s0
Super Mario Bros. Special 3-3,18A2-0000-0080-66A2,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLWn47QRazFV
Super Mario Bros. Special 3-4,3A7B-0000-0080-6607,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLWAUjWH-YGD
Super Mario Bros. Special 4-1,BE85-0000-0080-64A7,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLUpgmIn12fv
Super Mario Bros. Special 4-2,516C-0000-0080-6386,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLTuYUCcf49d
Super Mario Bros. Special 4-3,0B41-0000-0080-6299,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLSyMSxeHmaa
Super Mario Bros. Special 4-4,59B3-0000-0080-60ED,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLRAUJwpxyhp
Super Mario Bros. Special 5-1,471F-0000-0080-5D31,Forteblast,SMB,Ground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLNn03tZuPig
Super Mario Bros. Special 5-2,EC74-0000-0080-5B1B,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLLrQE5BS9vT
Super Mario Bros. Special 5-3,0963-0000-0080-5955,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLKHoU8NDqTS
Super Mario Bros. Special 5-4,D904-0000-0080-588E,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLJW8VM86Qis
Super Mario Bros. Special 6-1,D00D-0000-0080-5724,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLIQ4xZWOdvg
Super Mario Bros. Special 6-2,15D8-0000-0080-560A,Forteblast,SMB,Ground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLHRo-kwvIZf
Super Mario Bros. Special 6-3,75C0-0000-0080-550A,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLGWcSIKNH9b
Super Mario Bros. Special 6-4,EA27-0000-0080-5356 ,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLFBwSIcydDa
Super Mario Bros. Special 7-1,FFFA-0000-0080-518B,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLDYM2Qku-X7
Super Mario Bros. Special 7-2,6BF3-0000-0080-5013,Forteblast,SMB,Ground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icLB8wbuqnDg4
Super Mario Bros. Special 7-3,93DC-0000-0080-4DD5,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK_0MHFvqVu8
Super Mario Bros. Special 7-4,7C7C-0000-0080-4CDB,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK_AkUsyXCEn
Super Mario Bros. Special 8-1,95CC-0000-0080-4AB2,Forteblast,SMB,Ground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK8uQ-xe2eIL
Super Mario Bros. Special 8-2,A6E-0000-0080-4A21,Forteblast,SMB,Ground/Underwater,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK8PskOgA1yY
Super Mario Bros. Special 8-3,DDAF-0000-0080-4660,Forteblast,SMB,Ground/Underground,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK4sAMTUZ2J_
Super Mario Bros. Special 8-4,A9E5-0000-0080-45DB,Forteblast,SMB,Castle,A remake of Super Mario Bros. Special (1986) for Japanese PCs,Normal,https://d3esbfg30x759i.cloudfront.net/ss/WVW69icK4Nw4T24ybs
Super Mario Galaxy,70E7-0000-0079-3DE3,Mayo,SMB3,Airship/Underground,Marios journey through space.,Medium,
Super Mario Ice-capades,948D-0000-0054-7373,Teccy,SMB,Ground,"Traditional SMB stage, except everything is ice and there are a few long jumps.  Shouldn't be too difficult!",Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZ5dSkAhD9fvz
Super Mario Kart-O-Matic,A7D7-0000-003A-9D2A,N-Mario1984,SMB,Ground,"An automatic stage, with an option to play in a secret treasure room.",Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iY3JE0eqXkqZe
Super Mario Land 1-1,14C2-0000-0028-3E1F,Yakyro,SMB,Ground,Remake of the classic Game Boy level!,Very Easy,
Super Mario Land 1-1 (GB),7E15 0000 003B C328,,SMB,Ground,Remake of the Gameboy classic,Easy,
Super Mario Land 1-2,3BC6-0000-0028-4455,Yakyro,SMB,Ground,Remake of the classic Game Boy level!,Easy,
Super Mario Land 1-2 (GB),2B36 0000 0041 18AC,,SMB,Ground,Remake of the Gameboy classic,Medium,
Super Mario Land 1-3,7A62-0000-0028-4AFA,Yakyro,SMB,Castle,Remake of the classic Game Boy level!,Medium,
Super Mario Land 2-1,6B5D-0000-0028-5308,Yakyro,SMB,Ground,Remake of the classic Game Boy level!,Medium,
Super Mario Land 2-2,44EC-0000-003E-BC39,Yakyro,SMB,Airship,Remake of the classic Game Boy level!,Medium,
Super Mario Land 2-3,21E7-0000-003E-C0C0,Yakyro,SMB,Underwater,Remake of the classic Game Boy level!,Medium,
Super Mario Land 3-1,262D-0000-004B-D51D,Yakyro,SMB,Ground,Remake of the classic Game Boy level!,Medium,
Super Mario Land 3-2,3884-0000-004B-E03C,Yakyro,SMB,Underground,Remake of the classic Game Boy level!,Hard,
Super Mario PARTY Maker,7986-0000-0048-8F07,Kount,SMB,Ground,Mario Party level with a functioning dice and ranking system,Easy,http://imgur.com/MqDdjTd
Super Mario Text Adventure,E49D-0000-0044-9D46,t-bone,SMB,Underground,A text adventure where you make a few choices. 4 different outcomes,Very Easy,
Super Mario Text Adventure,E49D-0000-0044-9D46,t-bone,SMB,Underground,A text adventure where you make a few choices. 4 different outcomes,Very Easy,
Super Mario Triathlon,ABB9-0000-003E-A174,mega1337gamer,SMW,Ground/Underwater,"A 60-second race on foot, water and on Yoshi. Beat the timer to the finish!",Very Hard,
Super Mario World Mayhem 1-1,F0C1-0000-0067-3E5D,The_Ninajdillo,SMW,Underground,"The first level in the traditional platforming series, Super Mario World Mayhem",Easy,
Super Mario World Mayhem 1-2,BB2B-0000-0067-5EDD,The_Ninjadillo,SMW,Underground,"The second level in the traditional platforming series, Super Mario World Mayhem",Easy,
Super Mario World Mayhem 1-3,B575-0000-0067-762C,The_Ninjadillo,SMW,Underground,"The third level in the traditional platforming series, Super Mario World Mayhem",Easy,
Super Mario World Mayhem 1-4,D27D-0000-0067-C7ED,The_Ninjadillo,SMW,Underground,"The fourth level in the traditional platforming series, Super Mario World Mayhem",Easy,
Super Meat Bros. 2 (unofficial),6D45-0000-0028-5CFF,The_Ninjadillo,NSMBU,Castle,A very difficult stage inspired by Super Meat Boy,Very Hard,
Super Meat Bros. 3 (Unofficial),9C10-0000-004D-CB53,,NSMBU,Castle,Takes the difficulty of Super Meat Bros. 2 and cranks it up to 11. Only for the most daring players.,Kaizo,
Super Meat Bros. Final Boss,0562-0000-003A-5FE8,GanonsSpirit,NSMBU,Castle,Escape the chasing grinders,Hard,
Super Metroidvania Bros.,37E8-0000-002A-D130,The_Ninjadillo,SMB3,Underground/Ground,A good ol' fashioned Metroidvania level. Simple as that.,Medium-Hard,
Super Metroidvania Bros.,37E8-0000-002A-D130,The_Ninjadillo,SMB3,Underground/Ground,A good ol' fashioned Metroidvania level. Simple as that.,Medium-Hard,
Super Metroidvania Bros. 2,bb2D-0000-0039-5414,The_Ninjadillo,SMB3,Underground/Castle,"A sequel to the original Super Metroidvania Bros. More upgrades, more fun.",Medium-Hard,
Super Metroidvania Bros. 2,bb2D-0000-0039-5414,The_Ninjadillo,SMB3,Underground/Castle,"A sequel to the original Super Metroidvania Bros. More upgrades, more fun.",Medium-Hard,
Super Sledge Bros.,4317-0000-0048-3078,zenithian66,SMB3,Underground,Sledge Bros. will be your greatest ally and your worst enemy,Hard,
Super Spinies,8F29-0000-0040-2DD1,LastFootnote,NSMBU,Ground/Underground,"Traditional stage with a few sub areas, a few secrets, & lots of giant Spinies.",Medium-Hard,
Survive The Assault!,D3C2-0000-004D-1BDB,,NSMBU,Ground,Bullet hell like stage where you survive until the stage kills off all of the Koopas,Hard,
Sweet Prince Olimar's Revenge,98CF-0000-002A-32A8,Gorin,SMB,Ground,Olimar + Trampolines :),Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkb6xOnfA
Swim with the fishes.,7C48-0000-003E-4712,ChasHodges,SMB,Underwater,Underwater stage where the player must carefully navigate through shoals of fish.,,
Team Plasma's Frigate (EXTREME),E0BC-0000-0078-714E,Aiji,SMB,Airship,This slow and brutal auto-scroller involves a barrage of hazards on icey floors.,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHke89SnGg
Tenacity,8E81-0000-0017-3A15,Aeruon,NSMBU,Castle,"A very, very hard but fun level. This one's for the masochists.",Very Hard,https://miiverse.nintendo.net/posts/AYQHAAABAAAEVHhnLlkF-w
Tenacity 2,6D56-0000-002D-80AA,Aeruon,SMW,Ground,A level with a focus on grab-able item interaction. Interesting techs.,Hard,https://miiverse.nintendo.net/posts/AYQHAAABAACXVHhnTlm5uA
Temple of Doom,9428-0000-0279-6592,MetalSmasher86,SMB3,Castle,Precarious platforming over spikes and fire!,Expert-Super Expert,https://www.youtube.com/watch?v=XVwK1laPOM0
Terror on Floor 13,5E49-0000-0027-4929,H.Layton,SMW,Ghost House,Elevator ride through a haunted hotel,Hard,imgur.com/bP25GpQ
The Annoying Maze!,3312-0000-002A-0FBC,U mad bro?,SMB,Underwater,A maze! That is annoying!,Hard,
The Arena!,E8EC-0000-005D-66C5,Raxamongin,NSMBU,Underground,Take on rising difficulty of enemys in this fun fight to advance level!,Medium,
The Demon's Trap,BB91-0000-0041-D524,Tamashii,NSMBU,Castle,One of Bowser's more devastating challenges. Bring everything you've learned so far,Hard,
The Drawing of the Three,546C-0000-003C-AB18,Sellas,SMW,Ghost House,"a fun challenging puzzle, title comes from Dark Tower series",,
The Floor Is Lava,3666-0000-0039-9FAE,Lazy B,SMB,Castle,"Lava on the ground, hard jumps and enemys above",Hard,
The Floor Is Lava!,60D4-0000-003B-84EF,MetalSmasher86,SMB,Castle,Moving platforms suspended over a lava chasm. Tread carefully!,Super Expert,https://www.youtube.com/watch?v=295rK2PeffU
The Floor Is Lava! 2,1560-0000-021C-3AF3,MetalSmasher86,SMB,Castle,"A sequel (prequel?) to my second created stage, with more platforms!",Expert,https://www.youtube.com/watch?v=1AdDaAG4fjo
The High Road,0F33 0000 002A CEEF,,SMB3,Ground,Traditional Mario Course with a cool secret exit,Medium,
The Hungry Hungry Piranha's Lair,3413-0000-003E-122A,H.Layton,SMW,Underground,Get chased by a hungry Piranha Plant!,Medium,
The Impossible Levels: Precision,6A8E-0000-006C-489A,Doomsday31415,NSMBU,Castle,An absurdly hard level based around precision jumping,Very Hard,
The Monty Mole Mine,B7D6-0000-006E-674B,Thomas,NSMBU,Underground,,,
